Stanum,Lat,Lon,Rain,Mean,Var
57729,2714,10753,0.08,1.78,13.66
57731,2756,10815,-1.29,3.61,84.61
57741,2744,10911,0.18,6.67,393.26
57745,2727,10941,-0.14,2.12,35.35
57752,2755,11036,-0.59,4.13,80.05
57761,2745,11118,-0.35,6.16,229.83
57774,2727,11210,0.15,1.2,13.88
57776,2718,11242,0.21,2.88,33.34
57779,2703,11321,0.41,0.93,5.33
57780,2752,11310,0.31,1.19,11.99
57789,2708,11357,0.83,1.07,5.5
57793,2747,11422,-1.01,3.87,67.37
57799,2703,11455,0.92,0.19,0.76
57803,2701,10601,-0.07,2.32,40.49
57805,2641,10546,-0.74,4.8,74.47
57806,2615,10554,-1.03,6.25,460.9
57816,2635,10644,-0.89,3.69,81.73
57825,2636,10759,-0.25,2.52,74.49
57827,2619,10731,-1.04,6.11,213.18
57832,2658,10840,-0.31,5.54,320.6
57839,2614,10908,0.13,1.79,20.4
57840,2654,10912,-0.97,3.53,66.22
57845,2610,10947,0.53,0.92,7.26
57866,2614,11137,0.8,0.38,1.32
57872,2653,11236,-0.39,2.3,100.08
57874,2625,11224,0.53,1.21,6.77
57889,2605,11357,1.4,1.72,14.47
57894,2635,11410,2.13,1.57,6.46
57896,2620,11431,1.52,0.75,3.46
57902,2526,10511,0.94,2.44,29.41
57906,2511,10605,-0.46,4.2,115.01
57907,2505,10454,1.22,2.67,60.51
57910,2546,10605,-0.08,3.27,71.57
57912,2609,10639,-0.59,3.59,81.19
57916,2526,10646,-0.64,3.62,49.2
57922,2550,10733,0.66,1.96,35.16
57926,2525,10753,0.19,3.29,43.73
57932,2556,10831,0.73,1.08,13.68
57947,2514,10924,0.22,2.14,34.06
57957,2519,11018,-1.21,4.54,100.7
57965,2532,11136,1.25,0.28,1.53
57972,2544,11258,-0.11,2.35,20.91
57974,2535,11222,0.79,0.73,5.18
57993,2552,11501,1.17,0.98,20.48
57996,2505,11415,0.08,2.47,63.24
58005,3426,11532,0.43,1.39,27.47
58015,3427,11620,0.57,1.08,23.76
58026,3424,11801,0.82,1.21,13.27
58027,3417,11710,1.38,0.59,2.56
58038,3405,11847,-0.6,3.99,127.28
58040,3451,11908,-1.1,6.73,561.77
58047,3415,11914,0.69,1.48,21.91
58102,3347,11544,0.17,2.13,37.34
58111,3351,11625,0.5,1.35,12.15
58118,3316,11631,-0.94,4.64,216.62
58122,3338,11705,-0.83,5.15,153.43
58130,3356,11757,-0.05,2.61,54.07
58135,3329,11813,-0.44,6.23,215.84
58138,3257,11830,-0.92,4.64,160.6
58141,3338,11856,-0.31,0.0,0.0
58143,3348,11951,-0.54,4.3,313.89
58150,3345,12018,-0.1,3.46,141.8
58158,3310,12027,-0.14,3.14,130.3
58203,3252,11544,-1.01,4.29,112.08
58208,3210,11537,-0.45,5.45,170.11
58215,3226,11647,0.98,6.84,201.01
58221,3251,11718,2.91,11.78,1527.95
58225,3232,11740,-0.19,6.06,193.79
58236,3221,11815,-0.67,5.9,128.36
58238,3156,11854,2.14,9.8,511.69
58241,3245,11929,-1.1,4.8,109.16
58251,3251,12017,-0.77,6.43,665.3
