Stanum,Lat,Lon,Rain,Mean,Var
58467,3012,12118,-49.48,2.3,88.09
58472,3044,12227,-43.59,1.76,62.16
58477,3002,12206,-74.86,0.98,17.81
58500,2954,11513,146.91,14.21,1393.37
58506,2934,11559,11.94,8.86,427.49
58507,2915,11507,39.31,7.18,406.5
58519,2900,11640,-53.47,2.35,61.85
58520,2952,11742,55.19,11.3,723.16
58527,2918,11712,-76.11,1.67,13.1
58531,2943,11817,-42.75,3.61,72.27
58543,2937,11901,-46.54,2.49,77.65
58549,2907,11939,-75.33,1.05,14.72
58553,3003,12049,4.87,4.32,168.34
58556,2936,12049,-59.01,1.77,24.56
58557,2920,12005,-82.45,0.72,3.78
58562,2948,12130,-69.2,1.66,25.04
58569,2912,12157,-70.9,0.99,17.96
58600,2851,11522,7.22,6.38,209.93
58606,2835,11554,-80.17,0.95,6.86
58608,2759,11533,-61.02,1.85,47.22
58622,2857,11735,-56.55,2.93,111.03
58626,2819,11714,-66.31,1.81,30.93
58634,2841,11815,-43.36,2.93,62.78
58637,2827,11759,8.77,4.95,388.27
58646,2828,11956,-53.89,1.79,34.41
58652,2852,12043,-53.71,2.28,37.38
58665,2837,12125,-77.92,0.96,20.0
58666,2827,12154,-97.37,0.08,0.09
58667,2805,12116,-99.31,0.02,0.02
58705,2720,11525,-38.47,2.71,124.68
58715,2735,11639,-94.41,0.27,0.73
58718,2713,11632,-65.37,1.59,36.97
58725,2720,11728,-76.1,1.23,10.57
58730,2746,11802,-81.19,1.13,12.52
58731,2755,11832,-87.86,0.55,4.8
58734,2720,11807,-91.77,0.33,0.67
58737,2703,11819,-37.27,2.52,64.75
58742,2806,11934,-34.96,2.97,63.04
58744,2727,11930,-43.8,3.68,95.97
58752,2747,12039,-90.15,0.44,1.82
58754,2720,12012,-81.52,0.97,5.66
58806,2629,11601,-78.18,0.98,9.08
58813,2650,11618,-62.87,1.55,32.8
58818,2614,11638,-72.96,1.21,8.1
58820,2654,11710,-29.63,3.03,68.53
58837,2609,11809,-51.37,1.95,28.82
58843,2653,12001,-99.29,0.03,0.01
58846,2640,11931,-66.75,1.94,87.94
58847,2605,11917,-90.94,0.35,3.25
58911,2551,11622,-55.59,1.87,24.07
58918,2503,11625,-58.05,1.95,52.01
58926,2518,11725,-32.65,2.84,51.52
58927,2503,11701,13.75,5.92,188.58
58931,2543,11806,-64.83,2.01,21.68
58944,2531,11947,-87.46,0.45,5.43
59007,2403,10503,-60.44,2.35,15.72
59021,2433,10702,-9.17,8.3,194.39
59023,2442,10802,0.4,7.74,236.25
59037,2356,10806,4.58,9.76,437.83
59046,2422,10928,-24.7,4.41,68.88
