Stanum,Lat,Lon,Rain,Mean,Var
58820,2654,11710,-2.13,12.72,289.32
58837,2609,11809,-1.71,8.52,201.53
58843,2653,12001,-1.27,6.65,382.42
58846,2640,11931,-0.74,7.49,440.43
58847,2605,11917,-0.83,5.83,264.39
58911,2551,11622,-0.96,6.08,100.1
58918,2503,11625,-1.1,7.15,82.31
58926,2518,11725,-0.42,4.86,47.13
58927,2503,11701,-1.76,11.47,268.37
58931,2543,11806,-0.23,5.75,139.82
58944,2531,11947,0.66,3.64,104.76
59007,2403,10503,-1.58,11.57,150.66
59021,2433,10702,-1.01,13.23,584.9
59023,2442,10802,-0.69,9.58,231.87
59037,2356,10806,-0.7,11.43,695.07
59046,2422,10928,-0.49,6.55,136.23
59058,2412,11031,-1.86,22.62,821.52
59065,2425,11130,-0.94,7.42,99.29
